SuperCategory,Category,Subcategory,QuestionID,QuestionText,ResponseID,ResponseText
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",11,"your baby should increase weight. make sure to only breastfeed the baby and do so every 2 hours or as demanded by the baby. make sure that your baby does not fall Ill as this could lead to weight loss or inadequate weight gain.
For this, make sure that you feed only breastmilk. Make sure all immunisations are up-to-date.
Visit the hospital if you notice any abnormal signs such as diarrhoea, fever, baby is cold to touch etc.
Practicing kmc ( attach message ) is one of the best methods to help increase weight and help with your babys development"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",12,"We recommend that you must consult the doctor for this and follow instructions.
We have a few recommendations that you can do as an add on to what is recommended.
1) send ebf and method 
2) kmc
3) all immunisations and follow ups ( send message )
4) practice hygiene at all times to prevent Infection 
Add handwashing message
4) if you notice anything abnormal you must go to the doctor"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",13,"This weight is good. Continue exclusive breastfeeding, get all the vaccines in time and monitor the weight at regular intervals. with Kmc"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",14,"Your baby is a little below weight and will be able to have weight in the next couple of days/ weeks. 
Add breastfeeding ebf and bring
Number of feeds.
your doctor will have more information on whether there is any other problem. Speak to them"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",15,"""Your baby should increase weight by atleast 800gms or more in a month. For this you need to exclusively breastfeed your baby every 2 hours.
Right now the progress in the weight of your baby is good. Continue this.
Also make sure that your baby does not fall Ill as this could lead to weight loss or inadequate weight gain.
For this, make sure that you feed only breastmilk. Make sure all immunisations are up-to-date.
Visit the hospital if you notice any abnormal signs such as diarrhoea, fever, baby is cold to touch etc.
Practicing kmc ( attach message ) is one of the best methods to help increase weight and help with your babys development"""
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",16,"After delivery, for 6 months, you must not feed the baby anything else such as. water, honey, gripe water, cows milk, goats milk etc. this leads to vomitting and diarhoea in children. Breastfeed your baby every 2 - 3 hours.for 20 minutes each time, both breasts. this is all a baby needs for its growth, increase in weight , total well being """
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",17,"""How old is the baby
What was the wait of the baby at birth?

No! do not feed the baby anything other than breastmilk for 6 months 0 such as milk, water, honey, formula etc. Feed the baby every 2- 3 hours. we would recommend you to visit a doctor who will advice you on what you can do to make sure the weight of the baby improves."""
revamp,baby care,sleeping pattern,3,"ಮಗು ಕಿರಿಕಿರಿ ಮಾಡುವುದು , ಮಾತು ಮಗುಗೆ ಜ್ವರ ಬಂದಾಗ ತಾಯಿ ಯಾವರೀತಿ ನೋಡಿ ಕೊಳಬೇಕು , ಜಾಸ್ತಿ ರಾತ್ರಿ ಹೋತು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತೆ ಮಗು ಅದಕೆ ಏನು ಮಾಡಬೇಕು WhatsApp ಮೂಲಕ ಕಲಿಸಬೇಕಾಗಿ ವಿನಂತಿಸಿಕೊಳುತ್ತೆನೆ",18,"it is normal for babies to wake up for milk at night for 6-7 months. breastfeeing the baby atleast for 30-40 minutes and burping the baby correctly, then the baby will sleep atleast for 3 hour. after few days the baby sleep well during night times."
revamp,baby care,sleeping pattern,3,"ಮಗು ಕಿರಿಕಿರಿ ಮಾಡುವುದು , ಮಾತು ಮಗುಗೆ ಜ್ವರ ಬಂದಾಗ ತಾಯಿ ಯಾವರೀತಿ ನೋಡಿ ಕೊಳಬೇಕು , ಜಾಸ್ತಿ ರಾತ್ರಿ ಹೋತು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತೆ ಮಗು ಅದಕೆ ಏನು ಮಾಡಬೇಕು WhatsApp ಮೂಲಕ ಕಲಿಸಬೇಕಾಗಿ ವಿನಂತಿಸಿಕೊಳುತ್ತೆನೆ",19,"small babies sleep for long periods of time (12 - 16 hours or even more) this helps with development. Your task is to ensure that you feed the baby every 2- 3 hours , even if the baby is sleeping and even at night."
revamp,baby care,sleeping pattern,3,"ಮಗು ಕಿರಿಕಿರಿ ಮಾಡುವುದು , ಮಾತು ಮಗುಗೆ ಜ್ವರ ಬಂದಾಗ ತಾಯಿ ಯಾವರೀತಿ ನೋಡಿ ಕೊಳಬೇಕು , ಜಾಸ್ತಿ ರಾತ್ರಿ ಹೋತು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತೆ ಮಗು ಅದಕೆ ಏನು ಮಾಡಬೇಕು WhatsApp ಮೂಲಕ ಕಲಿಸಬೇಕಾಗಿ ವಿನಂತಿಸಿಕೊಳುತ್ತೆನೆ",20,"make sure that you feed your baby well and make a comfortable space for your baby to sleep. your baby should ideally sleep between feeds and you must feed every 2 hours in the first few days. your baby is small and may take some time to adjust. if this continues, check with a doctor."
revamp,baby care,sleeping pattern,3,"ಮಗು ಕಿರಿಕಿರಿ ಮಾಡುವುದು , ಮಾತು ಮಗುಗೆ ಜ್ವರ ಬಂದಾಗ ತಾಯಿ ಯಾವರೀತಿ ನೋಡಿ ಕೊಳಬೇಕು , ಜಾಸ್ತಿ ರಾತ್ರಿ ಹೋತು ಕಿರಿಕಿರಿ ಮಾಡುತ್ತೆ ಮಗು ಅದಕೆ ಏನು ಮಾಡಬೇಕು WhatsApp ಮೂಲಕ ಕಲಿಸಬೇಕಾಗಿ ವಿನಂತಿಸಿಕೊಳುತ್ತೆನೆ",21,"You will notice that your baby will start to sleep comfortably at night for a few hours after that. It will not happen overnight. Give it time.
Also ensure that the room is well ventilated and the baby is not feeling too hot or cold."
revamp,baby care,eye care,4,"बच्चा 10दिन का है,आँखे खोलता है लेकिन सुबह उठातेही एक आँख चिपक जाती है पता नही क्या प्राब्लम है, गिड जैसा आती है और चिपकती है",22,"Use a clean, soft cloth, dip it in luke warm water, squeeze it out and clean the eyes. Be very gentle so as to not hurt the baby. Visit a doctor close by to help you with this better"
revamp,baby care,platelet,5,"Sir 5 dinada maguvigay plate late kadimay agiday karanavenu plate late hege tagolodu yalli hege
in hospital.",23,as you are still in hospital please Follow your doctor's instructions
revamp,baby care,cry,6,Magu alutide,24,"babies cry for various reasons like hunger, pain, fever etc. Even after feeding at regular intervals if the baby doesn't stop crying, plz consult the pediatrician immediately."
revamp,baby care,cry,6,Magu alutide,25,"Your baby might be crying for multiple reasons. Not necessarily due to stomach pain only. If your baby has diarrhoea or vomitting it could indicate a stomach problem..make sure you do not feed the baby anything other than breastmilk - no honey, sugar water, or anything else. All this could cause indigestion and lead to stomach pain
Not burping your baby properly after every single feed could also lead to gas formation and cause discomfort in the baby.
Since you have visited the hospital and the doctors have given medicine, don't worry,your baby will feel better. But make sure to follow all the advice given above as well as that of the doctor."
revamp,baby care,less cry,7,2 days baby बच्चा अगर कम रोता हे तो कोई तक्लिप तो नही हे ना,26,"Babies normally cry to seek attention of the mother, for milk or if there is any health problem. If the baby is not crying actively, check if the baby is feeding well (at least 12 times per day with 20-30 minutes each time), active (wakes up from sleep once 2/2:30 hours, opens eyes, moves arms and legs), excreting well (passes urine almost after every feed, passes stool at least once a day or once in 3-4 days), fever (if the baby's body is too warm compared your own body's temperature). If all of these are fine, you don't have to worry. If you find the baby otherwise, not feeding well, being lethargic and lazy, passing less urine, fever or too cold plz take the baby to the pediatrician nearby as soon as possible."
revamp,baby care,cry with less urine,8,"Child crying too much
3 days
Yes, It's normal
Urin 2 times per day",27,"your baby should urinate more frequently than 2 times. make sure you feed your baby every 2 hours. if your baby is peeing less than 4 times is a sign of dehydration and despite you feeding every 2 hours, if this continues make sure to go to the doctor. other signs to look out for are 1) baby crying while urinating, 2) fever 3) redness or rash in the are. continue breastfeeding every 2-3 hours and consult the pediatrician once"
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",28,"Mother should eat nutritious food which includes plenty of vegetables, fruits, milk, curd, cheese and if you are a non-vegetarian then you can eat eggs, meat, fish also. Eat less spices and fried things. Eat iodized salt. Drink at least 8 to 10 glasses (2-3 liters) of water daily. Have been taking iron and calcium tablets.
 Only breast milk for baby"
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",29,PNC diet and sumplementation
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",30,"""Send latching techniques
Add: latching and frequent feeding helps produce more milk
Add ebf
To ensure there is sufficient milk produced for the baby it's extremely important for the mother to eat a very healthy diet and take her supplements.add pnc diey"""
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",31,"PNC Diet, EBF, and the breastfeeding mother should not take any tablets to by her self without consulting the doctor"
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",32,"""Mother should eat nutritious food which includes plenty of vegetables, fruits, milk, curd, cheese and if you are a non-vegetarian then you can eat eggs, meat, fish also. his will also help her produce more breastmilk for the little one. Eat less spices and fried things. use iodized salt. Continue iron and folic as advised by the doctor Drink at least 8 to 10 glasses (2-3 liters) of water daily.
Only breast milk for baby. breastfeed the baby every 2-3 hours. Doing all of these and still problem persists, please consult the doctor."""
revamp,Breast Milk,increas milk,9,"""माँ का यदि दूध बढ़ाना हो तो क्या करना चाहिये
11/sept 2019""",33,"There is no restriction on any food for the mother. Remember, the mother requires a nutritious diet to keep herself and the baby healthy. The mother can eat a diet that includes grains, dal, rajma, paneer and green leafy vegetables, fruits and milk, and if non-vegetarian, she can take eggs, meat or fish, along with her iron and calcium tablets, to keep healthy. This will also help her produce more breastmilk for the little one. Do not give her a lot of ghee as this will only increase her weight. Using iodized salt in food is good for her health"
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,34,"If you are producing less milk it is important that you try other methods before resorting to other products such as milk powder / animal milk. it is important that the mother eats a very nutritious diet with fruits, veggies, milk and lots of water. this is very very important. remember that breast milk is the best for your child till 6 months to help with long term growth and development. during this time your baby must not be fed honey, water , gripe water etc. After this, if you still do not produce enough milk make sure to visit the doctor who will guide you on what needs to be done - they will prescribe medicines / milk powder etc."
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,35,"""For now feed your baby needs only breastmilk and make sure you do so every 2 hours and also burp the baby after that.
Make sure to go for all checkups as indicated by your doctor and also get all the immunisations.
 Your baby is small now and you must focus on this. Once your baby turns 6 months we will help you understand how and what to feed the baby."""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,36,"""Send kmc
Ebf
Latching technique
Immunisation
For.motjer 
Diet and supplementation"""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,37,"""After delivery if the breastmilk is less Mother should eat nutritious food which includes plenty of vegetables, fruits, milk, curd, cheese and if you are a non-vegetarian then you can eat eggs, meat, fish also. Eat less spices and fried things. Eat iodized salt. Drink at least 8 to 10 glasses (2-3 liters) of water daily, it helps produce the breast milk.
it is important that you continue to breastfeed the baby, infact - getting the baby to latch on and suckle will help in producing more milk"""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,38,""" After delivery if the breastmilk is less send pnc diet.
Also attach that it is important that you continue to breastfeed the baby, infact - getting the baby to latch on and suckle will help in producing more milk """
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,39,PNC diet and supplementation message and exclusive breastfeeding and latching technique message.
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,40,"""After delivery, especially if its the first baby, new mothers may take time to produce milk .
 this is normal.
 During this time, continue to help the baby latch on to the breast and try to feed.
 the suckling of the baby improves milk production. do this as often as possible.
 Feed the yellow coloured milk that is produced. Do not feed the baby water, honey, cow's milk or anything else
 this is very very beneficial for the baby. newborns need very little milk and whatever the mother produces is enough for the child

Add pnc diet and water
And supplementation"""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,41,pnc diet and suckling
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,42,"""do remember that your baby will drink as much it wants - if the mother is not producing enough milk, kindly make sure that the mother is eating a very very nutritous diet. she must have ( pnc diet ). also add, she must drink milk and lots of water as well.
mothers supplementation is also very important.
Please consult a child specialist doctor in a government hospital near your home. Do not feed the child cows milk or anything else from the kitchen. This could cause diarrhoea and lead to a lot of problems for the baby.
The doctor will assess the baby and prescribe what is best."""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,43,"if there is lack of milk, make sure of the following 1) pnc diet 2) breastfeeding latching technique"
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,44,"""After delivery, especially if its the first baby, new mothers may take time to produce milk .
this is normal.
During this time, continue to help the baby latch on to the breast and try to feed.
the suckling of the baby improves milk production. do this as often as possible.
Feed the yellow coloured milk that is produced. Do not feed the baby water, honey, cow's milk or anything else
this is very very beneficial for the baby. newborns need very little milk and whatever the mother produces is enough for the child
Then, Start with feed the baby the yellow coloured milk that is produced or whatever little milk is produced - enough for the child. Continue to help the baby latch on - possible
"""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,45,"""should eat nutritious food which includes plenty of vegetables, fruits, milk, curd, cheese and if you are a non-vegetarian then you can eat eggs,
meat, fish also. Eat less spices and fried things. Eat iodized salt. Drink at least 8 to 10 glasses (2-3 liters) of water daily.
Have been taking iron and calcium tablets.but limit tea and coffee and stuff brought from the bakery.
- take your supplementations as instructed to you. always take the tablet half an hour before having food."""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,46,"ANC diet, You must drink extra water than you would normally to compensate fluid loss"
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,47,"""Your baby will drink as much milk as it needs in a day. (
Make sure to feed the baby every 2 hours, this will help with milk production.
 Send pnc diet ) a mother must follow a healthy and nutritious diet to be able to produce milk.
Also drink minimum of 8-12 glasses of water to cope with fluid loss.
Along with this it is important that she is supported emotionally and physically by the family.
We urge you to feed the child only breastmilk till 6 months of age and do not give the baby any other feeds such as cows milk, powder milk etc.
However if you strongly feel that there is a decrease in milk production, kindly visit the doctor and only then feed the baby other things."""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,48,"""No, do not feed the child anything other than breastmilk for 6 months unless adviced so by your doctor.
This is very very important.
Feed the baby every 2-3 hours. The milk production will increase as you nurse your baby and help it to suckle
To increase production of milk it is very important that the mother eats a well balanced diet that includes all colours of fruits and vegetables and drink lots of water (8-10 glasses a day atleast )

If you still face a problem, instead of feeding other things to baby, visit a doctor. He will advice you on what's good for you and the baby"""
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,49,"If mother having less milk, make sure she is eating full meals with all vegetables, dal, grains, fruits, milk, egg ( if non veg), and 8-10 glasses of water. Top feeds should be given to the baby only if your doctor gives advice for it"
revamp,Breast Milk,less milk,10,My daughter is 3. 5 months old but it seems that I am lacking lactation and we do not have have animal milk in home. What supplementary food can we give her? Which milk powder would you recommend,50,"It is good to show the doctor once. On delivery, especially during the first child, the mothers' breastfeeding can be slow. At this time, it is normal to try to feed the baby while holding the nipple properly. The more milk the baby drinks, the more milk it comes. Do this as often as possible. Do not give water, honey, cow's milk or anything else. It is very, very good for a child. Only a little milk is needed for newborn babies. Even a little milk coming to the mother is enough. The mother can eat all kinds of food. To stay healthy, the mother should eat nutritious foods - vegetables, fruit, pulses, whole grains, milk with iron and calcium tablets. This will enable her to give her baby enough milk. Drink at least 8-10 glasses of clean or boiled water per day."
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,51,You must try to latch the baby on more often..also speak to your doctor about this to understand better
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,52,"""burping techniques message-
do not feed the baby anything other than breastmilk to the baby.
 after breastfeeding, burp the baby properly.
if the baby continues to vomit , take the baby to the hospital."""
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,53,Properly latching on is very important to not feel any pain while breastfeeding
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,54,"""During this time, continue to help the baby latch on to the breast and try to feed.
 the suckling of the baby improves milk production. do this as often as possible.
 Feed the yellow coloured milk that is produced. Do not feed the baby water, honey, cow's milk or anything else"""
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,55,"After delivery, for 6 months, you must not feed the baby anything else such as. water, honey, gripe water, cows milk, goats milk etc. this leads to vomitting and diarhoea in children. Breastfeed your baby every 2 - 3 hours.for 20 minutes each time, both breasts.this is all a baby needs for its growth, increase in weight , total well being. with breast feeding technique"
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,56,breastfeeding technique and exclusive breastmilk message
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,57,"""After delivery, for 6 months, you must not feed the baby anything else such as. water, honey, gripe water, cows milk, goats milk etc. this leads to vomiting and diarhoea in children. Breastfeed your baby every 2 - 3 hours.for 20 minutes each time, both breasts.this is all a baby needs for its growth, increase in weight , total well being
market milk may not be digested by the baby leading to diarrhoea and death. If the mother is not producing milk or baby not feeding well, consult the doctor for other healthy options rather than treating ourselves """
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,58,"1. hold the baby close to the mother's chest. mother shouldn't bend forward but lift the baby close to her. 2. wake the baby up by touching the feet and cheeks 3. touch the baby's cheek close to the lips 4. bay will wide-open the mouth. as the baby opens the mouth, help the baby take the whole of the areola not just the nipple. 5. let the baby slowly suck. if the baby sleeps in between, wake-up by touching the feet or rubbing the head gently."
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,59,"""Don't worry, this is common..it will get better as you improve your technique and develop a pattern for the baby to follow
If this continues, go to the doctor and get it checked."""
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,60,"""Breastfeeding is the best way for a child to consume milk in the first 6 months. We highly recommend you to continue trying. Once a baby starts to use a feeding bottle he may not ever get back to breastfeeding. however, the most important thing here is that your child is fed so that he grows healthy - so, if the doctor has advised you to follow this method and if the baby is not facing any difficulty you may continue the same.
It is always good to check with a doctor before making any decisions as your doctor knows the progress of your child the best :)"""
revamp,Breast Milk,not drinking milk,11,7 days baby is not drinking milk properly please tell me how should we feed the baby,61,"""
we highly recommend that you try feeding the baby every 2-3 hours. Initiating spoon feeding early on would lead to never taking to breastfeeding. Remember that your child needs to be fed only breastmilk for 6 months.
feeding with a spoon might lead to the child not being fed breastmilk for the entire of 6 months period.this is not good.
Try your best to breastfeed the child with the technique mentioned here. You can also ask an Asha in your anganwadi to help you.
Breastfeeding techniques. 
1. hold the baby close to the mother's chest. mother shouldn't bend forward but lift the baby close to her. 2. wake the baby up by touching the feet and cheeks 3. touch the baby's cheek close to the lips 4. bay will wide-open the mouth. as the baby opens the mouth, help the baby take the whole of the areola not just the nipple. 5. let the baby slowly suck. if the baby sleeps in between, wake-up by touching the feet or rubbing the head gently."""
revamp,Breast Milk,thick breast milk,12,What should mother eat to produce thick breast milk? Mother's breast milk is very watery. Why is the milk not coming thick?,62,"""PNC Diet and supplements.
Your diet is the most important for breastmilk
 Also drink a lot of water
Then add next two messages"""
revamp,Breast Milk,importance,13,Tell me importance of Breast milk-,63,"""Breastmilk is very good for the baby; it's full of nutrients that promote growth and strength. Feed the baby only breastmilk from just after delivery up to 6 months of age.
The baby must be given mother’s first thick yellow milk. It is good for the baby's growth and helps fight infections.
Breastfeed the baby on demand, at least every 2- 3 hours, even during the night time.Breastfeeding prevents illnesses and will not make the baby sick. (edited) 

Also add ( before feed the baby only breast ) 
Breastmilk helps the little one build immunity that will last a lifetime and help your baby fight against diseases and lead a good healthy life"""
revamp,Breast Milk,importance,13,Tell me importance of Breast milk-,64,exclusive breastfeeding
revamp,Breast Milk,powder milk,14,Agar bache ko powder vala dudh laga jo to kon sa best hai bachche ki umar re 3 month,65,"""If the doctor has recommended using powder milk, we suggest that you consult with the doctor on whether this needs to be continued or if you can start breastfeeding the baby again - which is the most beneficial to the baby. 
Also ensure that you speak to the doctor on the best powder milk that would be most beneficial to your baby and how much is to be given to your baby"""
revamp,Breast Milk,powder milk,14,Agar bache ko powder vala dudh laga jo to kon sa best hai bachche ki umar re 3 month,66,""" No, do not feed the child anything other than breastmilk for 6 months unless adviced so by your doctor.
This is very very important.
Feed the baby every 2-3 hours. The milk production will increase as you nurse your baby and help it to suckle
To increase production of milk it is very important that the mother eats a well balanced diet that includes all colours of fruits and vegetables and drink lots of water (8-10 glasses a day atleast )
If you still face a problem, instead of feeding other things to baby, visit a doctor. He will advice you on what's good for you and the baby"""
revamp,Breast Milk,powder milk,14,Agar bache ko powder vala dudh laga jo to kon sa best hai bachche ki umar re 3 month,67,"""How old is the baby
Your baby will drink as much milk as it needs in a day. Make sure to feed the baby every 2 hours, this will help with milk production. 
a mother must follow a healthy and nutritious diet to be able to produce milk. Also drink minimum of 8-12 glasses of water to cope with fluid loss. Along with this it is important that she is supported emotionally and physically by the family. We urge you to feed the child only breastmilk till 6 months of age and do not give the baby any other feeds such as cows milk, powder milk etc. However if you strongly feel that there is a decrease in milk production, kindly visit the doctor and only then feed the baby other things.

There is no restriction on any food for the mother. Remember, the mother requires a nutritious diet to keep herself and the baby healthy. The mother can eat a diet that includes grains, dal, rajma, paneer and green leafy vegetables, fruits and milk, and if non-vegetarian, she can take eggs, meat or fish. Do not give her a lot of ghee as this will only increase her weight.
Using iodized salt in food is good for her health."""
revamp,Breast Milk,breastfeeding practice,15,बेबी को कितने देर तक मां का फिडॉ कराना चाहिए,68,"""exclusive breastfeeding-
babies will drink as much as they want. you should feed every 2- 3 hours no matter what. each time you feed, feed for 20 minutes, each breast
"""
